date,RISC-V,ARM architecture,x86
2025-06-22,7,4,45
2025-06-29,6,4,41
2025-07-06,7,3,46
2025-07-13,7,4,41
2025-07-20,10,5,43
2025-07-27,10,5,45
2025-08-03,12,8,49
2025-08-10,25,11,58
2025-08-17,19,9,51
2025-08-24,20,7,54
2025-08-31,19,8,52
2025-09-07,18,9,51
2025-09-14,18,7,57
2025-09-21,21,7,59
2025-09-28,24,9,54
2025-10-05,21,8,53
2025-10-12,21,9,61
2025-10-19,22,8,55
2025-10-26,18,8,51
2025-11-02,19,8,52
2025-11-09,20,10,57
2025-11-16,21,9,54
2025-11-23,21,10,55
2025-11-30,20,9,55
2025-12-07,19,8,55
2025-12-14,17,8,51
2025-12-21,12,6,48
2025-12-28,11,5,50
2026-01-04,11,6,48
2026-01-11,16,7,55
2026-01-18,19,8,52
2026-01-25,23,9,55
2026-02-01,22,9,55
2026-02-08,19,10,56
2026-02-15,19,13,54
2026-02-22,22,11,57
2026-03-01,20,10,57
2026-03-08,19,11,57
2026-03-15,22,11,56
2026-03-22,25,15,61
2026-03-29,27,13,70
2026-04-05,27,13,73
2026-04-12,25,13,57
2026-04-19,30,14,63
2026-04-26,28,12,67
2026-05-03,32,15,76
2026-05-10,37,15,87
2026-05-17,33,15,83
2026-05-24,39,16,89
2026-05-31,38,22,100
2026-06-07,20,10,65
2026-06-14,12,5,49
2026-06-21,27,6,54
